Gas Tariff ID,LDZ ID,Usage Band Min,Usage Band Max,Earliest Contract Start Date,Latest Contract Start Date,Daily Standing Charge,Monthly Standing Charge,Quarterly Standing Charge,Daily Standing Charge AMR,Monthly Standing Charge AMR,Quarterly Standing Charge AMR,Unit Rate,Pricing Start Date,Pricing End Date,,
a0ba000000GdKld,a0Z30000004Rl9D,1,10000,,,35,,,,,,,2020-09-09T00:00:00Z,,,2.083
a0ba000000GdKld,a0Z30000004Rl9D,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,36634,73266,,,0,,,,,,3.0897,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004Rl9D,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,73267,109901,,,0,,,,,,2.6434,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,109902,146535,,,0,,,,,,2.5758,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,146536,219803,,,0,,,,,,2.4909,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004Rl9D,219804,293071,,,0,,,,,,2.467,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDQ,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDQ,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,36634,73266,,,0,,,,,,2.8792,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDQ,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,73267,109901,,,0,,,,,,2.5785,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,109902,146535,,,0,,,,,,2.529,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,146536,219803,,,0,,,,,,2.4455,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDQ,219804,293071,,,0,,,,,,2.4376,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEE,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEE,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEE,36634,73266,,,0,,,,,,2.9914,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEE,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEE,73267,109901,,,0,,,,,,2.6802,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEE,109902,146535,,,0,,,,,,2.6256,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEE,146536,219803,,,0,,,,,,2.5369,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEE,219804,293071,,,0,,,,,,2.528,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDk,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDk,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDk,36634,73266,,,0,,,,,,2.9778,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDk,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDk,73267,109901,,,0,,,,,,2.6666,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDk,109902,146535,,,0,,,,,,2.612,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDk,146536,219803,,,0,,,,,,2.5233,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDk,219804,293071,,,0,,,,,,2.5144,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDV,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDV,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDV,36634,73266,,,0,,,,,,3.0583,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDV,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDV,73267,109901,,,0,,,,,,2.7403,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDV,109902,146535,,,0,,,,,,2.6823,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDV,146536,219803,,,0,,,,,,2.5901,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDV,219804,293071,,,0,,,,,,2.5809,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDp,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDp,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDp,36634,73266,,,0,,,,,,2.987,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDp,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDp,73267,109901,,,0,,,,,,2.6891,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDp,109902,146535,,,0,,,,,,2.6413,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDp,146536,219803,,,0,,,,,,2.5594,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDp,219804,293071,,,0,,,,,,2.5516,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEJ,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEJ,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,36634,73266,,,0,,,,,,2.9897,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlEJ,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,73267,109901,,,0,,,,,,2.6826,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,109902,146535,,,0,,,,,,2.63,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,146536,219803,,,0,,,,,,2.5434,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlEJ,219804,293071,,,0,,,,,,2.5349,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDu,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDu,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,36634,73266,,,0,,,,,,3.0139,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDu,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,73267,109901,,,0,,,,,,2.7072,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,109902,146535,,,0,,,,,,2.6546,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,146536,219803,,,0,,,,,,2.568,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDu,219804,293071,,,0,,,,,,2.5594,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDz,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDz,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,36634,73266,,,0,,,,,,3.0706,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDz,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,73267,109901,,,0,,,,,,2.7638,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,109902,146535,,,0,,,,,,2.7113,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,146536,219803,,,0,,,,,,2.6246,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDz,219804,293071,,,0,,,,,,2.6164,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE4,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE4,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,36634,73266,,,0,,,,,,3.0887,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE4,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,73267,109901,,,0,,,,,,2.7812,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,109902,146535,,,0,,,,,,2.7283,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,146536,219803,,,0,,,,,,2.6413,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE4,219804,293071,,,0,,,,,,2.6328,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDf,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDf,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,36634,73266,,,0,,,,,,3.0167,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDf,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,73267,109901,,,0,,,,,,2.7157,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,109902,146535,,,0,,,,,,2.6666,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,146536,219803,,,0,,,,,,2.583,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDf,219804,293071,,,0,,,,,,2.5751,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDa,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDa,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDa,36634,73266,,,0,,,,,,3.1344,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlDa,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDa,73267,109901,,,0,,,,,,2.8269,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDa,109902,146535,,,0,,,,,,2.774,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDa,146536,219803,,,0,,,,,,2.6871,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlDa,219804,293071,,,0,,,,,,2.6785,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE9,1,10000,,,35,,,,,,2.083,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE9,10001,36633,,,81,,,,,,2.0488,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE9,36634,73266,,,0,,,,,,2.9911,2020-09-09T00:00:00Z,,,
a0ba000000GdKld,a0Z30000004RlE9,36634,73266,,,169,,,,,,2.0147,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE9,73267,109901,,,0,,,,,,2.6833,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE9,109902,146535,,,0,,,,,,2.6307,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE9,146536,219803,,,0,,,,,,2.5437,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTx,a0Z30000004RlE9,219804,293071,,,0,,,,,,2.5352,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004Rl9D,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004Rl9D,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004Rl9D,36634,73266,,,0,,,,,,3.0351,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004Rl9D,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004Rl9D,73267,109901,,,0,,,,,,2.5888,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004Rl9D,109902,146535,,,0,,,,,,2.5212,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004Rl9D,146536,219803,,,0,,,,,,2.4363,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004Rl9D,219804,293071,,,0,,,,,,2.4124,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDQ,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDQ,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDQ,36634,73266,,,0,,,,,,2.8246,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDQ,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDQ,73267,109901,,,0,,,,,,2.5239,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDQ,109902,146535,,,0,,,,,,2.4744,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDQ,146536,219803,,,0,,,,,,2.3909,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDQ,219804,293071,,,0,,,,,,2.383,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlEE,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlEE,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlEE,36634,73266,,,0,,,,,,2.9368,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlEE,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlEE,73267,109901,,,0,,,,,,2.6256,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlEE,109902,146535,,,0,,,,,,2.571,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlEE,146536,219803,,,0,,,,,,2.4823,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlEE,219804,293071,,,0,,,,,,2.4734,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDk,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDk,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDk,36634,73266,,,0,,,,,,2.9232,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDk,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDk,73267,109901,,,0,,,,,,2.612,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDk,109902,146535,,,0,,,,,,2.5574,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDk,146536,219803,,,0,,,,,,2.4687,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDk,219804,293071,,,0,,,,,,2.4598,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDV,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDV,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDV,36634,73266,,,0,,,,,,3.0037,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDV,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDV,73267,109901,,,0,,,,,,2.6857,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDV,109902,146535,,,0,,,,,,2.6277,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDV,146536,219803,,,0,,,,,,2.5355,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDV,219804,293071,,,0,,,,,,2.5263,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDp,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDp,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDp,36634,73266,,,0,,,,,,2.9324,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlDp,36634,73266,,,167,,,,,,1.9601,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDp,73267,109901,,,0,,,,,,2.6345,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDp,109902,146535,,,0,,,,,,2.5867,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDp,146536,219803,,,0,,,,,,2.5048,2020-09-09T00:00:00Z,,,
a0b1B00000Q0qTs,a0Z30000004RlDp,219804,293071,,,0,,,,,,2.497,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlEJ,1,10000,,,35,,,,,,2.0284,2020-09-09T00:00:00Z,,,
a0b30000002jdoW,a0Z30000004RlEJ,10001,36633,,,80,,,,,,1.9942,2020-09-09T00:00:00Z,,,
